,id,text,author,category
0,62836,"The society based on production is only productive, not creative.",Albert Camus,society
1,9307,The simplest questions are the most profound. Where were you born? Where is your home? Where are you going? What are you doing? Think about these once in a while and watch your answers change.,Richard Bach,change
2,66799,I'm sure any vocal teacher that listens to me would rather cut my throat than do anything - I do everything all wrong - but I think for me that's the best - because I don't think I have a voice so I think what I project would be style - if I learned to sing I'd lose my style.,Julie London,teacher
3,72041,Television brought the brutality of war into the comfort of the living room. Vietnam was lost in the living rooms of America - not on the battlefields of Vietnam.,Marshall McLuhan,war
4,65636,"Singleness of purpose is one of the chief essentials for success in life, no matter what may be one's aim.",John D. Rockefeller,success
5,55096,I think politicians get hamstrung by the nature of politics when the private sector can really do great things.,Henry Rollins,politics
6,67535,"On the other hand, there would be some value in different folks getting together to share expertise and technology but to the listener, it wouldn't necessarily seem like a single station in the traditional sense.",Jamie Zawinski,technology
7,73121,Not by age but by capacity is wisdom acquired.,Plautus,wisdom
8,26477,"That's a funny thing, fame. People definitely do treat you differently. When you begin to be successful, people say, 'Don't go changing.' Well, that's easy to say, but the fact is, you don't change at all - other people do.",Jonathan Rhys Meyers,funny
9,2032,Isn't it amazing the way the future succeeds in creating an appropriate past?,John Leonard,amazing
10,9174,"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean,change
11,37761,"One way we can enliven the imagination is to push it toward the illogical. We're not scientists. We don't always have to make the logical, reasonable leap.",Stella Adler,imagination
12,49938,"The way Hollywood portrays mothers - you're either all good and saint-like, or you're all bad. And I think the real honesty of motherhood is not given a voice in movies. I miss that as an audience member.",Ellen Barkin,movies
13,54575,"Besides the actual reading in class of many poems, I would suggest you do two things: first, while teaching everything you can and keeping free of it, teach that poetry is a mode of discourse that differs from logical exposition.",A. R. Ammons,poetry
14,34407,I love places that have an incredible history. I love the Italian way of life. I love the food. I love the people. I love the attitudes of Italians.,Elton John,history
15,22491,"Who sows fear, reaps weapons.",Friedrich Durrenmatt,fear
16,32544,"Happiness doesn't depend on how much you have to enjoy, but how much you enjoy what you have.",Tom Wilson,happiness
17,37864,There is no connection between the political ideas of our educated class and the deep places of the imagination.,Lionel Trilling,imagination
18,34664,Our culture's obsession with vintage objects has rendered us unable to separate history from nostalgia. People want heart. They want a chaser of emotion with their aesthetics.,Sloane Crosley,history
19,53448,"I am President of the UN created University for Peace, which has a strong commitment to the relationship between peace, security and the environment. I meet with young people around the world and I always come away enthused and encouraged.",Maurice Strong,peace
20,7875,Politics is just show business for ugly people.,Jay Leno,business
21,37391,"Imagine for yourself a character, a model personality, whose example you determine to follow, in private as well as in public.",Epictetus,imagination
22,23538,"Well, food's always the way to anybody's heart, I think, guy or girl.",Josh Hutcherson,food
23,50434,"I love music. It's freedom, a way to deal with pent-up frustration.",Ice Cube,music
24,5406,There is certainly no absolute standard of beauty. That precisely is what makes its pursuit so interesting.,John Kenneth Galbraith,beauty
25,55281,Pennsylvania is a very tough state people don't last long in Pennsylvania politics.,Arlen Specter,politics
26,51085,"I love rock-n-roll. I think it's an exciting art form. It's revolutionary. Still revolutionary and it changed people. It changed their hearts. But yeah, even rock-n-roll has a lot of rubbish, really bad music.",Nick Cave,music
27,3907,Art washes away from the soul the dust of everyday life.,Pablo Picasso,art
28,89,We pay when old for the excesses of youth.,J. B. Priestley,age
29,31564,"To love one that is great, is almost to be great one's self.",Samuel Johnson,great
30,21476,"If you ever get rich and famous, by definition you are special. You have done something special, and therefore you start to behave special. Then if the floor drops out, and you become down and out, you have a really new perspective.",Danny Bonaduce,famous
31,48032,Wouldn't it be great if you could only get AIDS by giving money to television preachers?,Elayne Boosler,money
32,36679,You hope people are going to be listening to you after you're gone. And they like you better after you're gone.,Tom Waits,hope
33,73574,The house a woman creates is a Utopia. She can't help it - can't help trying to interest her nearest and dearest not in happiness itself but in the search for it.,Marguerite Duras,women
34,1395,I never did anything alone. Whatever was accomplished in this country was accomplished collectively.,Golda Meir,alone
35,63063,"The rights of democracy are not reserved for a select group within society, they are the rights of all the people.",Olof Palme,society
36,39265,"The universal Mind contains all knowledge. It is the potential ultimate of all things. To it, all things are possible.",Ernest Holmes,knowledge
37,59931,"I undertake that, in the exercise of my functions of that office I will have regard to any guidance with respect to ethical standards issued by the secretary of state under Section 66 of the Greater London Authority Act 1999.",Kenneth Robert Livingstone,respect
38,60643,"More generally, I made an effort to leave out things that weren't relevant to the main narrative themes of the book, namely that there were two sides to Steve Jobs: the romantic, poetic, countercultural rebel on one side, and the serious businessperson on the other.",Walter Isaacson,romantic
39,37326,Solutions-oriented campaigning with a little passion and a little humor I think that will go a long way. I think people are desperate for it.,Laura Ingraham,humor
40,60470,Everyone who knows me knows that I'm a hopeless romantic who listens to love ballads and doo-wop songs all the time.,Henry Rollins,romantic
41,48541,"How many women have the courage to start properly with a cold, cold bath early in the morning? I jump in, throw the water, cold as ice, and after the first plunge I am happy.",Anna Held,morning
42,9196,"If you don't like how things are, change it! You're not a tree.",Jim Rohn,change
43,43636,Passion is momentary love is enduring.,John Wooden,love
44,18720,"If you're 40 years old and you've never had a failure, you've been deprived.",Gloria Swanson,failure
45,62040,"While that amendment failed, human cloning continues to advance and the breakthrough in this unethical and morally questionable science is around the corner.",Mike Pence,science
46,3948,Making money is art and working is art and good business is the best art.,Andy Warhol,art
